No.,Time,Source,Destination,Protocol,Length,Info
238,6.767884,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
239,6.777397,192.168.1.106,52.115.97.218,UDP,93,50047  >  3481 Len=51
240,6.777611,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
241,6.777757,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
242,6.859945,52.114.16.94,192.168.1.106,TCP,1506,443  >  50508 [ACK] Seq=2472 Ack=397 Win=2050 Len=1452 [TCP segment of a reassembled PDU]
243,6.860578,52.114.16.94,192.168.1.106,TLSv1.2,1061,Application Data
244,6.860712,192.168.1.106,52.114.16.94,TCP,54,50508  >  443 [ACK] Seq=397 Ack=4931 Win=517 Len=0
245,6.862107,192.168.1.106,52.114.16.94,TLSv1.2,450,Application Data
246,6.922641,Cisco-Li_1d:7c:e2,IntelCor_f1:3d:f3,ARP,42,Who has 192.168.1.106? Tell 192.168.1.1
247,6.922652,IntelCor_f1:3d:f3,Cisco-Li_1d:7c:e2,ARP,42,192.168.1.106 is at a0:a4:c5:f1:3d:f3
248,7.067915,52.114.16.94,192.168.1.106,TCP,54,443  >  50508 [ACK] Seq=4931 Ack=793 Win=2049 Len=0
249,7.086377,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
250,7.116071,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
251,7.227036,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
252,7.331325,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
253,7.331483,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
254,7.385363,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
255,7.448107,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
256,7.49332,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
257,7.504741,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
258,7.504921,52.115.97.218,192.168.1.106,UDP,81,3479  >  50013 Len=39
259,7.504921,52.115.97.218,192.168.1.106,UDP,1257,3479  >  50013 Len=1215
260,7.649399,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
261,7.752573,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
262,7.793861,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
263,7.813263,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
264,7.915118,192.168.1.135,224.0.0.251,MDNS,130,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
265,7.916586,fe80::489:41fe:2feb:b5b3,ff02::fb,MDNS,150,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _homekit._tcp.local, ""QU"" question OPT"
266,8.037093,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
267,8.177055,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
268,8.228672,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
269,8.292993,192.168.1.106,185.199.110.154,TCP,55,51095  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]
270,8.294514,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
271,8.358757,185.199.110.154,192.168.1.106,TCP,66,443  >  51095 [ACK] Seq=1 Ack=2 Win=60 Len=0 SLE=1 SRE=2
272,8.367905,192.168.1.135,224.0.0.251,IGMPv2,46,Membership Report group 224.0.0.251
273,8.367905,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
274,8.451765,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
275,8.54449,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
276,8.546514,52.114.6.96,192.168.1.106,TLSv1.2,754,Application Data
277,8.548367,192.168.1.106,52.114.6.96,TLSv1.2,782,Application Data
278,8.556321,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
279,8.556514,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
280,8.588066,192.168.1.106,52.114.6.96,TCP,54,50599  >  443 [ACK] Seq=1 Ack=701 Win=517 Len=0
281,8.65361,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
282,8.665265,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
283,8.683184,52.114.6.96,192.168.1.106,TCP,54,443  >  50586 [ACK] Seq=1 Ack=729 Win=2050 Len=0
284,8.776667,Cisco-Li_1d:7c:e2,Broadcast,ARP,42,Who has 192.168.1.105? Tell 192.168.1.1
285,8.874802,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
286,8.949405,192.168.1.106,52.115.97.218,UDP,141,50047  >  3481 Len=99
287,8.977328,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
288,8.982147,192.168.1.135,224.0.0.251,MDNS,130,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
289,8.984107,fe80::489:41fe:2feb:b5b3,ff02::fb,MDNS,150,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
290,9.044939,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
291,9.127987,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
292,9.22878,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
293,9.295852,192.168.1.106,52.115.97.218,UDP,177,50013  >  3479 Len=135
294,9.313361,52.115.97.218,192.168.1.106,UDP,125,3480  >  50021 Len=83
295,9.462521,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
296,9.524171,52.115.97.218,192.168.1.106,UDP,125,3481  >  50058 Len=83
297,9.61613,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
298,9.680926,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
299,9.731706,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
300,9.829791,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
301,9.842896,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
302,9.897286,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
303,9.945292,52.115.97.218,192.168.1.106,UDP,133,3479  >  50013 Len=91
304,9.95897,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
305,10.00233,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
306,10.047201,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
307,10.112915,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
308,10.147994,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
309,10.201046,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
310,10.418037,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
311,10.689168,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
312,10.736948,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
313,10.772008,192.168.1.106,52.114.6.213,TCP,55,51117  >  443 [ACK] Seq=1 Ack=1 Win=515 Len=1 [TCP segment of a reassembled PDU]
314,10.778834,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
315,10.783803,192.168.1.106,52.115.97.218,UDP,93,50047  >  3481 Len=51
316,10.783888,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
317,10.783935,192.168.1.106,52.115.97.218,UDP,1269,50047  >  3481 Len=1227
318,10.87424,52.114.6.213,192.168.1.106,TCP,66,443  >  51117 [ACK] Seq=1 Ack=2 Win=2053 Len=0 SLE=1 SRE=2
319,10.884749,52.115.97.218,192.168.1.106,UDP,113,3481  >  50047 Len=71
320,10.902146,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
321,10.902291,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
322,10.986277,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
323,10.997982,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
324,11.086441,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
325,11.20869,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
326,11.220973,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
327,11.311473,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
328,11.427582,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
329,11.531323,52.115.97.218,192.168.1.106,UDP,81,3479  >  50013 Len=39
330,11.531872,52.115.97.218,192.168.1.106,UDP,1257,3479  >  50013 Len=1215
331,11.556546,52.115.97.218,192.168.1.106,UDP,125,3480  >  50021 Len=83
332,11.711797,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
333,11.80549,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
334,11.86432,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
335,11.871412,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
336,11.951943,192.168.1.135,224.0.0.251,MDNS,130,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
337,11.953506,fe80::489:41fe:2feb:b5b3,ff02::fb,MDNS,150,"Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question OPT"
338,11.99889,52.114.16.94,192.168.1.106,TCP,1506,443  >  50508 [ACK] Seq=4931 Ack=793 Win=2049 Len=1452 [TCP segment of a reassembled PDU]
339,11.999438,52.114.16.94,192.168.1.106,TLSv1.2,1060,Application Data
340,11.999548,192.168.1.106,52.114.16.94,TCP,54,50508  >  443 [ACK] Seq=793 Ack=7389 Win=517 Len=0
341,12.000615,192.168.1.106,52.114.16.94,TLSv1.2,449,Application Data
342,12.02148,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
343,12.021612,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
344,12.106129,192.168.1.106,52.115.97.218,UDP,177,50058  >  3481 Len=135
345,12.142058,52.115.97.218,192.168.1.106,UDP,164,3479  >  50013 Len=122
346,12.155043,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
347,12.159861,52.115.97.218,192.168.1.106,UDP,166,3479  >  50013 Len=124
348,12.166037,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
349,12.181562,52.115.97.218,192.168.1.106,UDP,160,3479  >  50013 Len=118
350,12.203294,52.115.97.218,192.168.1.106,UDP,167,3479  >  50013 Len=125
351,12.210209,52.114.16.94,192.168.1.106,TCP,54,443  >  50508 [ACK] Seq=7389 Ack=1188 Win=2047 Len=0
352,12.223557,52.115.97.218,192.168.1.106,UDP,154,3479  >  50013 Len=112
353,12.240909,52.115.97.218,192.168.1.106,UDP,146,3479  >  50013 Len=104
354,12.261239,52.115.97.218,192.168.1.106,UDP,148,3479  >  50013 Len=106
355,12.281641,52.115.97.218,192.168.1.106,UDP,146,3479  >  50013 Len=104
356,12.300887,52.115.97.218,192.168.1.106,UDP,159,3479  >  50013 Len=117
357,12.323322,52.115.97.218,192.168.1.106,UDP,161,3479  >  50013 Len=119
358,12.341392,52.115.97.218,192.168.1.106,UDP,158,3479  >  50013 Len=116
359,12.36058,52.115.97.218,192.168.1.106,UDP,153,3479  >  50013 Len=111
360,12.37803,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
361,12.382146,52.115.97.218,192.168.1.106,UDP,160,3479  >  50013 Len=118
362,12.383531,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
363,12.4,52.115.97.218,192.168.1.106,UDP,156,3479  >  50013 Len=114
364,12.423647,52.115.97.218,192.168.1.106,UDP,153,3479  >  50013 Len=111
365,12.44213,52.115.97.218,192.168.1.106,UDP,151,3479  >  50013 Len=109
366,12.462466,52.115.97.218,192.168.1.106,UDP,152,3479  >  50013 Len=110
367,12.473674,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
368,12.485076,52.115.97.218,192.168.1.106,UDP,149,3479  >  50013 Len=107
369,12.502171,52.115.97.218,192.168.1.106,UDP,143,3479  >  50013 Len=101
370,12.5228,52.115.97.218,192.168.1.106,UDP,144,3479  >  50013 Len=102
371,12.546508,52.115.97.218,192.168.1.106,UDP,145,3479  >  50013 Len=103
372,12.560455,52.115.97.218,192.168.1.106,UDP,154,3479  >  50013 Len=112
373,12.581421,52.115.97.218,192.168.1.106,UDP,140,3479  >  50013 Len=98
374,12.600822,52.115.97.218,192.168.1.106,UDP,143,3479  >  50013 Len=101
375,12.624396,52.115.97.218,192.168.1.106,UDP,151,3479  >  50013 Len=109
376,12.643335,52.115.97.218,192.168.1.106,UDP,150,3479  >  50013 Len=108
377,12.66035,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
378,12.681203,52.115.97.218,192.168.1.106,UDP,80,3479  >  50013 Len=38
379,12.700631,52.115.97.218,192.168.1.106,UDP,127,3479  >  50013 Len=85
380,12.72319,52.115.97.218,192.168.1.106,UDP,127,3479  >  50013 Len=85
381,12.724173,52.115.97.218,192.168.1.106,UDP,133,3479  >  50013 Len=91
382,12.743832,52.115.97.218,192.168.1.106,UDP,148,3479  >  50013 Len=106
383,12.766015,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
384,12.782627,52.115.97.218,192.168.1.106,UDP,80,3479  >  50013 Len=38
385,12.82897,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
386,12.840082,192.168.1.106,52.115.97.218,UDP,141,50021  >  3480 Len=99
387,12.843524,52.115.97.218,192.168.1.106,UDP,105,3479  >  50013 Len=63
388,12.864036,52.115.97.218,192.168.1.106,UDP,168,3479  >  50013 Len=126
389,12.884553,52.115.97.218,192.168.1.106,UDP,175,3479  >  50013 Len=133
390,12.902874,52.115.97.218,192.168.1.106,UDP,172,3479  >  50013 Len=130
391,12.92472,52.115.97.218,192.168.1.106,UDP,167,3479  >  50013 Len=125
392,12.944654,52.115.97.218,192.168.1.106,UDP,174,3479  >  50013 Len=132
393,12.961264,52.115.97.218,192.168.1.106,UDP,176,3479  >  50013 Len=134
394,12.969518,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
395,12.992922,52.115.97.218,192.168.1.106,UDP,173,3479  >  50013 Len=131
396,13.001158,52.115.97.218,192.168.1.106,UDP,183,3479  >  50013 Len=141
397,13.030987,52.115.97.218,192.168.1.106,UDP,175,3479  >  50013 Len=133
398,13.031512,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
399,13.049251,52.115.97.218,192.168.1.106,UDP,174,3479  >  50013 Len=132
400,13.049311,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
401,13.065237,52.115.97.218,192.168.1.106,UDP,186,3479  >  50013 Len=144
402,13.084427,52.115.97.218,192.168.1.106,UDP,184,3479  >  50013 Len=142
403,13.08909,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
404,13.102511,52.115.97.218,192.168.1.106,UDP,190,3479  >  50013 Len=148
405,13.126145,52.115.97.218,192.168.1.106,UDP,179,3479  >  50013 Len=137
406,13.143258,52.115.97.218,192.168.1.106,UDP,179,3479  >  50013 Len=137
407,13.16403,52.115.97.218,192.168.1.106,UDP,177,3479  >  50013 Len=135
408,13.180027,52.115.97.218,192.168.1.106,UDP,171,3479  >  50013 Len=129
409,13.20217,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
410,13.212139,52.115.97.218,192.168.1.106,UDP,169,3479  >  50013 Len=127
411,13.227087,52.115.97.218,192.168.1.106,UDP,164,3479  >  50013 Len=122
412,13.230206,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
413,13.230344,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
414,13.243259,52.115.97.218,192.168.1.106,UDP,162,3479  >  50013 Len=120
415,13.243403,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
416,13.265473,52.115.97.218,192.168.1.106,UDP,162,3479  >  50013 Len=120
417,13.265938,52.115.97.218,192.168.1.106,UDP,125,3481  >  50058 Len=83
418,13.283083,52.115.97.218,192.168.1.106,UDP,162,3479  >  50013 Len=120
419,13.301461,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
420,13.308006,52.115.97.218,192.168.1.106,UDP,154,3479  >  50013 Len=112
421,13.313414,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
422,13.329341,52.115.97.218,192.168.1.106,UDP,156,3479  >  50013 Len=114
423,13.34324,52.115.97.218,192.168.1.106,UDP,161,3479  >  50013 Len=119
424,13.363066,52.115.97.218,192.168.1.106,UDP,146,3479  >  50013 Len=104
425,13.384768,52.115.97.218,192.168.1.106,UDP,143,3479  >  50013 Len=101
426,13.400515,52.115.97.218,192.168.1.106,UDP,84,3479  >  50013 Len=42
427,13.414629,52.115.97.218,192.168.1.106,UDP,113,3481  >  50047 Len=71
428,13.444618,52.115.97.218,192.168.1.106,UDP,153,3479  >  50013 Len=111
429,13.445316,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
430,13.46349,52.115.97.218,192.168.1.106,UDP,158,3479  >  50013 Len=116
431,13.486272,52.115.97.218,192.168.1.106,UDP,156,3479  >  50013 Len=114
432,13.506434,52.115.97.218,192.168.1.106,UDP,119,3479  >  50013 Len=77
433,13.534639,52.115.97.218,192.168.1.106,UDP,147,3479  >  50013 Len=105
434,13.54739,192.168.1.106,52.115.97.218,UDP,158,50021  >  3480 Len=116
435,13.549271,52.115.97.218,192.168.1.106,UDP,146,3479  >  50013 Len=104
436,13.573073,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
437,13.593747,52.115.97.218,192.168.1.106,UDP,136,3479  >  50013 Len=94
438,13.593747,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
439,13.603729,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
440,13.624587,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50021
441,13.62877,52.115.97.218,192.168.1.106,UDP,140,3479  >  50013 Len=98
442,13.644415,52.115.97.218,192.168.1.106,UDP,142,3479  >  50013 Len=100
443,13.667655,52.115.97.218,192.168.1.106,UDP,142,3479  >  50013 Len=100
444,13.668113,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
445,13.687294,52.115.97.218,192.168.1.106,UDP,141,3479  >  50013 Len=99
446,13.705392,52.115.97.218,192.168.1.106,UDP,137,3479  >  50013 Len=95
447,13.726899,52.115.97.218,192.168.1.106,UDP,140,3479  >  50013 Len=98
448,13.744417,52.115.97.218,192.168.1.106,UDP,138,3479  >  50013 Len=96
449,13.763512,52.115.97.218,192.168.1.106,UDP,141,3479  >  50013 Len=99
450,13.781581,52.115.97.218,192.168.1.106,UDP,144,3479  >  50013 Len=102
451,13.800974,52.115.97.218,192.168.1.106,UDP,144,3479  >  50013 Len=102
452,13.826171,52.115.97.218,192.168.1.106,UDP,144,3479  >  50013 Len=102
453,13.841432,52.115.97.218,192.168.1.106,UDP,148,3479  >  50013 Len=106
454,13.860659,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
455,13.865321,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
456,13.866385,52.115.97.218,192.168.1.106,UDP,117,3479  >  50013 Len=75
457,13.900537,52.115.97.218,192.168.1.106,UDP,143,3479  >  50013 Len=101
458,13.900537,52.115.97.218,192.168.1.106,UDP,136,3479  >  50013 Len=94
459,13.922991,52.115.97.218,192.168.1.106,UDP,157,3479  >  50013 Len=115
460,13.946893,52.115.97.218,192.168.1.106,UDP,158,3479  >  50013 Len=116
461,13.963635,52.115.97.218,192.168.1.106,UDP,145,3479  >  50013 Len=103
462,13.984312,52.115.97.218,192.168.1.106,UDP,150,3479  >  50013 Len=108
463,14.004738,52.115.97.218,192.168.1.106,UDP,165,3479  >  50013 Len=123
464,14.025145,52.115.97.218,192.168.1.106,UDP,162,3479  >  50013 Len=120
465,14.046425,52.115.97.218,192.168.1.106,UDP,157,3479  >  50013 Len=115
466,14.063031,52.115.97.218,192.168.1.106,UDP,84,3479  >  50013 Len=42
467,14.090504,192.168.1.106,52.115.97.218,UDP,141,50047  >  3481 Len=99
468,14.090653,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
469,14.169526,192.168.1.106,52.115.97.218,UDP,158,50058  >  3481 Len=116
470,14.190052,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
471,14.254038,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50058
472,14.29137,52.115.97.218,192.168.1.106,UDP,117,3480  >  50021 Len=75
473,14.301079,52.115.97.218,192.168.1.106,UDP,134,3479  >  50013 Len=92
474,14.327555,192.168.1.106,52.115.97.218,UDP,145,50021  >  3480 Len=103
475,14.342088,52.115.97.218,192.168.1.106,UDP,125,3479  >  50013 Len=83
476,14.344568,52.115.97.218,192.168.1.106,UDP,149,3479  >  50013 Len=107
477,14.359804,52.115.97.218,192.168.1.106,UDP,148,3479  >  50013 Len=106
478,14.383336,192.168.1.106,52.115.97.218,UDP,158,50013  >  3479 Len=116
479,14.383668,52.115.97.218,192.168.1.106,UDP,140,3479  >  50013 Len=98
480,14.38369,192.168.1.106,52.115.97.218,UDP,158,50047  >  3481 Len=116
481,14.401363,52.115.97.218,192.168.1.106,UDP,143,3479  >  50013 Len=101
482,14.422794,52.115.97.218,192.168.1.106,UDP,134,3479  >  50013 Len=92
483,14.442834,52.115.97.218,192.168.1.106,UDP,147,3479  >  50013 Len=105
484,14.463031,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50047
485,14.466369,52.115.97.218,192.168.1.106,UDP,119,3479  >  50013 Len=77
486,14.475408,52.115.97.218,192.168.1.106,STUN,114,Binding Success Response XOR-MAPPED-ADDRESS: 103.132.174.28:50013
487,14.484416,52.115.97.218,192.168.1.106,UDP,160,3479  >  50013 Len=118
488,14.5037,52.115.97.218,192.168.1.106,UDP,138,3479  >  50013 Len=96
489,14.526936,52.115.97.218,192.168.1.106,UDP,137,3479  >  50013 Len=95
490,14.54065,52.115.97.218,192.168.1.106,UDP,144,3479  >  50013 Len=102
491,14.561975,52.115.97.218,192.168.1.106,UDP,146,3479  >  50013 Len=104
492,14.583822,52.115.97.218,192.168.1.106,UDP,139,3479  >  50013 Len=97
493,14.600346,52.115.97.218,192.168.1.106,UDP,134,3479  >  50013 Len=92
